layer,unit,description,similarity
avgpool,762,cottages,0.3587036
avgpool,763,textile,0.17599487
avgpool,764,dresser,0.3294983
avgpool,765,cottages,0.4036255
avgpool,766,basement,0.2767334
avgpool,767,food,0.32815552
avgpool,768,cemetery,0.36621094
avgpool,769,attic,0.45724487
avgpool,770,building,0.27642822
avgpool,771,campus,0.35842896
avgpool,772,snorkeling,0.44073486
avgpool,773,dotted,0.3656006
avgpool,774,castle,0.3632202
avgpool,775,locker,0.44354248
avgpool,776,terrace,0.24249268
avgpool,777,sinks,0.6543579
avgpool,778,blanca,0.24752808
avgpool,779,juvenile,0.41125488
avgpool,780,castles,0.46609497
avgpool,781,lobby,0.383667
avgpool,782,alley,0.41903687
avgpool,783,curtain,0.16537476
avgpool,784,carpet,0.20568848
avgpool,785,dock,0.20962524
avgpool,786,alps,0.19256592
avgpool,787,renewable,0.21304321
avgpool,788,exercises,0.3267212
avgpool,789,pharmacies,0.25387573
avgpool,790,volcano,0.33169556
avgpool,791,chaired,0.115722656
avgpool,792,gallery,0.34848022
avgpool,793,bridges,0.21826172
avgpool,794,lobby,0.253479
avgpool,795,volleyball,0.45263672
avgpool,796,tower,0.28070068
avgpool,797,texture,0.21472168
avgpool,798,mating,0.23205566
avgpool,799,harvesting,0.2897644
avgpool,800,juvenile,0.16873169
avgpool,801,columns,0.22976685
avgpool,802,snorkeling,0.49908447
avgpool,803,arch,0.34573364
avgpool,804,couch,0.2713623
avgpool,805,snorkeling,0.25109863
avgpool,806,collier,0.42681885
avgpool,807,red,0.18807983
avgpool,808,garage,0.6238098
avgpool,809,bread,0.34597778
avgpool,810,bedroom,0.27566528
avgpool,811,trucks,0.28329468
avgpool,812,pathways,0.22366333
avgpool,813,kitchen,0.49197388
avgpool,814,building,0.35849
avgpool,815,watersports,0.32858276
avgpool,816,envelope,0.12762451
avgpool,817,dresser,0.24349976
avgpool,818,textile,0.33377075
avgpool,819,shoes,0.2546997
avgpool,820,greenhouse,0.6665344
avgpool,821,juvenile,0.18902588
avgpool,822,nature,0.13446045
avgpool,823,sofas,0.41589355
